phone,count,mean_ms,median_ms,stddev_ms,min_ms,p90_ms,max_ms
AA,3755,112.967,110.0,55.062,30.0,180.0,620.0
AE,5501,99.038,90.0,52.742,30.0,170.0,400.0
AH,20030,58.212,50.0,29.621,10.0,90.0,420.0
AO,1677,103.202,90.0,59.516,30.0,180.0,460.0
AW,1043,165.849,150.0,65.198,30.0,250.0,450.0
AY,3450,144.681,130.0,67.937,30.0,230.0,560.0
B,3334,63.959,60.0,26.542,10.0,100.0,240.0
CH,1116,128.504,120.0,42.374,30.0,180.0,350.0
D,9083,61.247,50.0,29.321,10.0,100.0,370.0
DH,6010,47.817,40.0,19.746,10.0,70.0,290.0
EH,5646,81.667,70.0,40.428,10.0,130.0,520.0
ER,5429,101.741,90.0,55.029,10.0,180.0,470.0
EY,2930,130.41,120.0,60.302,30.0,210.0,480.0
F,3553,108.005,100.0,40.093,30.0,160.0,430.0
G,1637,76.378,70.0,27.179,30.0,110.0,230.0
HH,4075,75.939,70.0,36.969,10.0,120.0,310.0
IH,11916,66.178,60.0,33.318,10.0,110.0,410.0
IY,7072,98.787,80.0,56.564,30.0,180.0,530.0
JH,886,102.833,90.0,41.75,30.0,150.0,350.0
K,5252,97.359,90.0,36.763,30.0,150.0,320.0
L,7854,81.425,70.0,45.073,30.0,130.0,810.0
M,5619,74.39,70.0,30.161,20.0,110.0,280.0
N,13752,64.357,60.0,34.988,10.0,110.0,530.0
NG,1951,87.114,80.0,40.898,30.0,140.0,360.0
OW,2460,132.589,120.0,69.816,30.0,220.0,720.0
OY,186,182.903,160.0,86.318,60.0,300.0,560.0
P,3627,98.26,90.0,33.91,30.0,140.0,290.0
R,8222,73.41,60.0,39.52,10.0,120.0,310.0
S,9146,117.45,110.0,46.055,30.0,170.0,430.0
SH,1583,126.747,120.0,32.489,30.0,160.0,300.0
T,13183,74.339,70.0,37.789,10.0,130.0,390.0
TH,1294,96.878,90.0,45.773,30.0,150.0,340.0
UH,954,63.878,60.0,34.062,10.0,110.0,320.0
UW,2466,94.011,80.0,60.934,10.0,170.0,470.0
V,4007,67.881,60.0,28.483,30.0,100.0,420.0
W,4169,68.321,60.0,33.44,10.0,110.0,290.0
Y,1421,73.934,60.0,40.531,30.0,130.0,370.0
Z,5497,90.042,80.0,40.783,30.0,140.0,400.0
ZH,92,96.739,100.0,17.075,50.0,119.0,170.0
